moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
io,2459649.209710683,A.D. 2022-03-10 17:01:59.00 TDB,2459649.304431301,A.D. 2022-03-10 19:18:22.86 TDB,136.3977,2459649.257070992,5.97248279,49.671625,0.0086,0.0086
io,2459650.979657589,A.D. 2022-03-12 11:30:42.42 TDB,2459651.074368759,A.D. 2022-03-12 13:47:05.46 TDB,136.3841,2459651.027013173,5.97041473,49.654425,0.0086,0.0086
io,2459652.749708054,A.D. 2022-03-14 05:59:34.78 TDB,2459652.844417436,A.D. 2022-03-14 08:15:57.67 TDB,136.3815,2459652.797062745,5.96770767,49.631911,0.0086,0.0086
io,2459654.519788437,A.D. 2022-03-16 00:28:29.72 TDB,2459654.614484403,A.D. 2022-03-16 02:44:51.45 TDB,136.3622,2459654.567136420,5.96436658,49.604124,0.0086,0.0086
io,2459656.289797506,A.D. 2022-03-17 18:57:18.50 TDB,2459656.384470746,A.D. 2022-03-17 21:13:38.27 TDB,136.3295,2459656.337134126,5.96039467,49.571091,0.0086,0.0086
io,2459658.059680591,A.D. 2022-03-19 13:25:56.40 TDB,2459658.154340143,A.D. 2022-03-19 15:42:14.99 TDB,136.3098,2459658.107010367,5.95579379,49.532827,0.0086,0.0086
io,2459659.829637288,A.D. 2022-03-21 07:54:40.66 TDB,2459659.924293212,A.D. 2022-03-21 10:10:58.93 TDB,136.3045,2459659.876965250,5.95056622,49.489350,0.0086,0.0086
io,2459661.599641913,A.D. 2022-03-23 02:23:29.06 TDB,2459661.694286495,A.D. 2022-03-23 04:39:46.35 TDB,136.2882,2459661.646964204,5.94471550,49.440691,0.0086,0.0086
io,2459663.369625913,A.D. 2022-03-24 20:52:15.68 TDB,2459663.464250499,A.D. 2022-03-24 23:08:31.24 TDB,136.2594,2459663.416938206,5.93824340,49.386864,0.0086,0.0086
io,2459665.139536890,A.D. 2022-03-26 15:20:55.99 TDB,2459665.234150608,A.D. 2022-03-26 17:37:10.61 TDB,136.2438,2459665.186843749,5.93115057,49.327875,0.0086,0.0086
io,2459666.909563743,A.D. 2022-03-28 09:49:46.31 TDB,2459667.004174508,A.D. 2022-03-28 12:06:00.68 TDB,136.2395,2459666.956869125,5.92343869,49.263737,0.0086,0.0086
io,2459668.679659241,A.D. 2022-03-30 04:18:42.56 TDB,2459668.774257776,A.D. 2022-03-30 06:34:55.87 TDB,136.2219,2459668.726958509,5.91511249,49.194491,0.0086,0.0086
io,2459670.449717576,A.D. 2022-03-31 22:47:35.60 TDB,2459670.544291678,A.D. 2022-04-01 01:03:46.80 TDB,136.1867,2459670.497004627,5.90617658,49.120173,0.0086,0.0086
io,2459672.219646454,A.D. 2022-04-02 17:16:17.45 TDB,2459672.314204010,A.D. 2022-04-02 19:32:27.23 TDB,136.1629,2459672.266925232,5.89663524,49.040820,0.0086,0.0086
io,2459673.989626413,A.D. 2022-04-04 11:45:03.72 TDB,2459674.084175738,A.D. 2022-04-04 14:01:12.78 TDB,136.1510,2459674.036901075,5.88649367,48.956475,0.0086,0.0086
io,2459675.759637712,A.D. 2022-04-06 06:13:52.70 TDB,2459675.854172897,A.D. 2022-04-06 08:30:00.54 TDB,136.1307,2459675.806905304,5.87576018,48.867207,0.0086,0.0086
io,2459677.529612947,A.D. 2022-04-08 00:42:38.56 TDB,2459677.624123484,A.D. 2022-04-08 02:58:44.27 TDB,136.0952,2459677.576868216,5.86444258,48.773082,0.0086,0.0086
io,2459679.299487017,A.D. 2022-04-09 19:11:15.68 TDB,2459679.393983260,A.D. 2022-04-09 21:27:20.15 TDB,136.0746,2459679.346735138,5.85254764,48.674154,0.0086,0.0086
io,2459681.069461093,A.D. 2022-04-11 13:40:01.44 TDB,2459681.163952101,A.D. 2022-04-11 15:56:05.46 TDB,136.0671,2459681.116706598,5.84008190,48.570480,0.0086,0.0086
io,2459682.839524924,A.D. 2022-04-13 08:08:54.95 TDB,2459682.934004914,A.D. 2022-04-13 10:24:58.02 TDB,136.0512,2459682.886764919,5.82705490,48.462138,0.0086,0.0086
io,2459684.609592041,A.D. 2022-04-15 02:37:48.75 TDB,2459684.704046912,A.D. 2022-04-15 04:53:49.65 TDB,136.0150,2459684.656819477,5.81347545,48.349201,0.0086,0.0086
io,2459686.379550576,A.D. 2022-04-16 21:06:33.17 TDB,2459686.473987786,A.D. 2022-04-16 23:22:32.54 TDB,135.9896,2459686.426769181,5.79935055,48.231728,0.0086,0.0086
io,2459688.149562539,A.D. 2022-04-18 15:35:22.20 TDB,2459688.243988943,A.D. 2022-04-18 17:51:20.64 TDB,135.9740,2459688.196775741,5.78468546,48.109762,0.0086,0.0086
io,2459689.919607902,A.D. 2022-04-20 10:04:14.12 TDB,2459690.014018835,A.D. 2022-04-20 12:20:11.23 TDB,135.9517,2459689.966813369,5.76948761,47.983365,0.0086,0.0086
io,2459691.689610705,A.D. 2022-04-22 04:33:02.36 TDB,2459691.783992648,A.D. 2022-04-22 06:48:56.96 TDB,135.9100,2459691.736801676,5.75376349,47.852592,0.0086,0.0086
io,2459693.459479127,A.D. 2022-04-23 23:01:39.00 TDB,2459693.553841882,A.D. 2022-04-24 01:17:31.94 TDB,135.8824,2459693.506660504,5.73751825,47.717484,0.0086,0.0086
io,2459695.229409968,A.D. 2022-04-25 17:30:21.02 TDB,2459695.323762866,A.D. 2022-04-25 19:46:13.11 TDB,135.8682,2459695.276586417,5.72075642,47.578080,0.0086,0.0086
io,2459696.999423164,A.D. 2022-04-27 11:59:10.16 TDB,2459697.093764916,A.D. 2022-04-27 14:15:01.29 TDB,135.8521,2459697.046594040,5.70348680,47.434453,0.0086,0.0086
io,2459698.769458819,A.D. 2022-04-29 06:28:01.24 TDB,2459698.863774872,A.D. 2022-04-29 08:43:50.15 TDB,135.8151,2459698.816616845,5.68571930,47.286686,0.0086,0.0086
io,2459700.539403779,A.D. 2022-05-01 00:56:44.49 TDB,2459700.633701513,A.D. 2022-05-01 03:12:31.81 TDB,135.7887,2459700.586552646,5.66746358,47.134857,0.0086,0.0086
io,2459702.309418382,A.D. 2022-05-02 19:25:33.75 TDB,2459702.403703780,A.D. 2022-05-02 21:41:20.01 TDB,135.7710,2459702.356561081,5.64872834,46.979041,0.0086,0.0086
io,2459704.079492576,A.D. 2022-05-04 13:54:28.16 TDB,2459704.173763566,A.D. 2022-05-04 16:10:13.17 TDB,135.7502,2459704.126628071,5.62952611,46.819341,0.0086,0.0086
io,2459705.849543278,A.D. 2022-05-06 08:23:20.54 TDB,2459705.943783286,A.D. 2022-05-06 10:39:02.88 TDB,135.7056,2459705.896663282,5.60986984,46.655865,0.0086,0.0086
io,2459707.619442913,A.D. 2022-05-08 02:51:59.87 TDB,2459707.713659732,A.D. 2022-05-08 05:07:40.20 TDB,135.6722,2459707.666551322,5.58977123,46.488710,0.0086,0.0086
io,2459709.389365720,A.D. 2022-05-09 21:20:41.20 TDB,2459709.483566993,A.D. 2022-05-09 23:36:20.19 TDB,135.6498,2459709.436466357,5.56923972,46.317954,0.0086,0.0086
io,2459711.159346928,A.D. 2022-05-11 15:49:27.57 TDB,2459711.253535178,A.D. 2022-05-11 18:05:05.44 TDB,135.6311,2459711.206441053,5.54828803,46.143704,0.0086,0.0086
io,2459712.929346120,A.D. 2022-05-13 10:18:15.50 TDB,2459713.023506467,A.D. 2022-05-13 12:33:50.96 TDB,135.5909,2459712.976426294,5.52692929,45.966069,0.0086,0.0086
io,2459714.699248806,A.D. 2022-05-15 04:46:55.10 TDB,2459714.793389646,A.D. 2022-05-15 07:02:28.87 TDB,135.5628,2459714.746319226,5.50517506,45.785145,0.0086,0.0086
io,2459716.469221423,A.D. 2022-05-16 23:15:40.73 TDB,2459716.563348394,A.D. 2022-05-17 01:31:13.30 TDB,135.5428,2459716.516284909,5.48303369,45.601001,0.0086,0.0086
io,2459718.239284262,A.D. 2022-05-18 17:44:34.16 TDB,2459718.333398929,A.D. 2022-05-18 20:00:05.67 TDB,135.5251,2459718.286341595,5.46051616,45.413728,0.0086,0.0086
io,2459720.009366020,A.D. 2022-05-20 12:13:29.22 TDB,2459720.103449886,A.D. 2022-05-20 14:28:58.07 TDB,135.4808,2459720.056407953,5.43763392,45.223422,0.0086,0.0086
