moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
ganymede,2457990.980908428,A.D. 2017-08-25 11:32:30.49 TDB,2457991.075848579,A.D. 2017-08-25 13:49:13.32 TDB,136.7138,2457991.028378503,6.07365194,50.513023,0.0086,0.0086
ganymede,2457998.146748607,A.D. 2017-09-01 15:31:19.08 TDB,2457998.241134449,A.D. 2017-09-01 17:47:14.02 TDB,135.9156,2457998.193941528,6.15206966,51.165203,0.0086,0.0086
ganymede,2458005.312764635,A.D. 2017-09-08 19:30:22.86 TDB,2458005.406635559,A.D. 2017-09-08 21:45:33.31 TDB,135.1741,2458005.359700097,6.22230050,51.749295,0.0086,0.0086
ganymede,2458012.478657019,A.D. 2017-09-15 23:29:15.97 TDB,2458012.572028293,A.D. 2017-09-16 01:43:43.24 TDB,134.4546,2458012.525342656,6.28376860,52.260510,0.0086,0.0086
ganymede,2458019.644288279,A.D. 2017-09-23 03:27:46.51 TDB,2458019.737146327,A.D. 2017-09-23 05:41:29.44 TDB,133.7156,2458019.690717303,6.33583670,52.693547,0.0086,0.0086
ganymede,2458026.809703335,A.D. 2017-09-30 07:25:58.37 TDB,2458026.902105777,A.D. 2017-09-30 09:39:01.94 TDB,133.0595,2458026.855904556,6.37795466,53.043831,0.0086,0.0086
ganymede,2458033.975011114,A.D. 2017-10-07 11:24:00.96 TDB,2458034.066897951,A.D. 2017-10-07 13:36:19.98 TDB,132.3170,2458034.020954533,6.40978612,53.308566,0.0086,0.0086
ganymede,2458041.140385837,A.D. 2017-10-14 15:22:09.34 TDB,2458041.231821199,A.D. 2017-10-14 17:33:49.35 TDB,131.6669,2458041.186103518,6.43105803,53.485479,0.0086,0.0086
ganymede,2458048.306140058,A.D. 2017-10-21 19:20:50.50 TDB,2458048.397087787,A.D. 2017-10-21 21:31:48.38 TDB,130.9647,2458048.351613922,6.44144170,53.571837,0.0086,0.0086
ganymede,2458055.472065127,A.D. 2017-10-28 23:19:46.43 TDB,2458055.562566833,A.D. 2017-10-29 01:30:05.77 TDB,130.3225,2458055.517315980,6.44073114,53.565928,0.0086,0.0086
